Date,Nation/State/County,State,state,County,fips,Last Update,Data Quality Grade,Total Cases,New Cases,Total Deaths,New Deaths
2020-01-22,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-23,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-24,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-25,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-26,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-27,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-28,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-29,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-30,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-01-31,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-02-01,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-02-02,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-02-03,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-02-04,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-02-05,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-02-06,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,1,0,0,0
2020-02-07,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,2,1,0,0
2020-02-08,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,2,0,0,0
2020-02-09,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,2,0,0,0
2020-02-10,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,2,0,0,0
2020-02-11,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,2,0,0,0
2020-02-12,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,2,0,0,0
2020-02-13,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,2,0,0,0
2020-02-14,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,2,0,0,0
