Date,Nation/State/County,State,state,County,fips,Last Update,Data Quality Grade,Metric,Value
2020-02-07,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-07,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,1
2020-02-08,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-08,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-09,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-09,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-10,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-10,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-11,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-11,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-12,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-12,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-13,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-13,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-14,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-14,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-15,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-15,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-16,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-16,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-17,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-17,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
2020-02-18,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,Total Cases,2
2020-02-18,Nation,N/A,N/A,N/A,NA,2020-06-17T00:37:04Z,NA,New Cases,0
